SKU,Marca,Categoría,Palabras clave
65QNED80SQA,lg,,"[(':', 7), ('smart', 4), ('lg', 4), ('quantum', 4), ('nanocell', 4), ('tv', 3), ('65', 3), ('inch', 3), ('65qned80sqa', 3), ('65qned80', 3)]"
OLED77C2PSA,lg,,"[('smart', 44), ('tbh', 43), ('4k', 41), ('oled', 22), ('air', 17), ('oled,', 16), ('lg', 15), ('an', 14), ('tv', 12), ('leabhar-làimhe', 11)]"
